,state,action,reward,new_state,terminal
16,"(-0.31486791372299194, -0.15274177491664886, 0.006727918982505798, 0.0022637665271759036, -0.0035953596234321594, -3.921650350093842e-05, 0.6681075692176819, -0.057824429124593735)","[1, 1]",-0.7698566178114403,"(-0.27530884742736816, -0.18720924854278564, 0.006058229599148035, 0.003955906629562378, -0.0034467473626136782, -6.696893833577633e-05, 0.7681075930595398, -0.05084311217069626)",False
17,"(-0.27530884742736816, -0.18720924854278564, 0.006058229599148035, 0.003955906629562378, -0.0034467473626136782, -6.696893833577633e-05, 0.7681075930595398, -0.05084311217069626)","[1, 0]",-0.7578481561997088,"(-0.21970638632774353, -0.2166968584060669, 0.005121076945215464, 0.005560246109962464, -0.002948760986328125, -9.371526539325714e-05, 0.8681076169013977, -0.05084311217069626)",False
18,"(-0.21970638632774353, -0.2166968584060669, 0.005121076945215464, 0.005560246109962464, -0.002948760986328125, -9.371526539325714e-05, 0.8681076169013977, -0.05084311217069626)","[1, -1]",-0.8617765150322291,"(-0.15224303305149078, -0.23836946487426758, 0.003974006511271, 0.006746335327625275, -0.0021672606468200683, -0.00011470704339444637, 0.9681076407432556, -0.057824429124593735)",False
19,"(-0.15224303305149078, -0.23836946487426758, 0.003974006511271, 0.006746335327625275, -0.0021672606468200683, -0.00011470704339444637, 0.9681076407432556, -0.057824429124593735)","[1, 0]",-1.0465527670706614,"(-0.07886213064193726, -0.25075003504753113, 0.0027015074156224728, 0.007338090240955353, -0.001238057017326355, -0.00012724990956485273, 1.0681076049804688, -0.057824429124593735)",False
20,"(-0.07886213064193726, -0.25075003504753113, 0.0027015074156224728, 0.007338090240955353, -0.001238057017326355, -0.00012724990956485273, 1.0681076049804688, -0.057824429124593735)","[-1, 0]",-1.1831230976674925,"(-0.005665046628564596, -0.25375765562057495, 0.0013927557738497853, 0.007319708401337267, -0.00030076205730438237, -0.00013087516417726875, 0.9681075811386108, -0.057824429124593735)",False
21,"(-0.005665046628564596, -0.25375765562057495, 0.0013927557738497853, 0.007319708401337267, -0.00030076205730438237, -0.00013087516417726875, 0.9681075811386108, -0.057824429124593735)","[1, 1]",-1.1529825429515774,"(0.06209851801395416, -0.24846524000167847, 0.00012717446952592582, 0.006776356464251876, 0.0005292415618896485, -0.00012655813043238595, 1.0681076049804688, -0.05084311217069626)",False
22,"(0.06209851801395416, -0.24846524000167847, 0.00012717446952592582, 0.006776356464251876, 0.0005292415618896485, -0.00012655813043238595, 1.0681076049804688, -0.05084311217069626)","[0, -1]",-1.247033009688857,"(0.12077068537473679, -0.23683904111385345, -0.0010363211622461677, 0.005867216736078262, 0.0011626198887825013, -0.00011634956317720936, 1.0681076049804688, -0.057824429124593735)",False
23,"(0.12077068537473679, -0.23683904111385345, -0.0010363211622461677, 0.005867216736078262, 0.0011626198887825013, -0.00011634956317720936, 1.0681076049804688, -0.057824429124593735)","[0, 1]",-1.3490541414532384,"(0.1690291166305542, -0.2213205248117447, -0.0020703435875475407, 0.004825843125581742, 0.0015518516302108765, -0.0001034022425301373, 1.0681076049804688, -0.05084311217069626)",False
24,"(0.1690291166305542, -0.2213205248117447, -0.0020703435875475407, 0.004825843125581742, 0.0015518516302108765, -0.0001034022425301373, 1.0681076049804688, -0.05084311217069626)","[1, 1]",-1.3446742890248355,"(0.20816275477409363, -0.20410913228988647, -0.002983971033245325, 0.003913363814353943, 0.0017211392521858217, -9.136274456977844e-05, 1.1681076288223267, -0.04386179521679878)",False
25,"(0.20816275477409363, -0.20410913228988647, -0.002983971033245325, 0.003913363814353943, 0.0017211392521858217, -9.136274456977844e-05, 1.1681076288223267, -0.04386179521679878)","[-1, -1]",-1.432279689140017,"(0.24128097295761108, -0.1864098310470581, -0.0038129696622490883, 0.0033118218183517457, 0.001769930124282837, -8.289986290037632e-05, 1.0681076049804688, -0.05084311217069626)",False
26,"(0.24128097295761108, -0.1864098310470581, -0.0038129696622490883, 0.0033118218183517457, 0.001769930124282837, -8.289986290037632e-05, 1.0681076049804688, -0.05084311217069626)","[1, -1]",-1.4176927868917573,"(0.2716735601425171, -0.16810719668865204, -0.004597701597958803, 0.0030392587184906008, 0.0018302634358406068, -7.84731935709715e-05, 1.1681076288223267, -0.057824429124593735)",False
