,state,action,reward,new_state,terminal
132,"(1.4340876340866089, 0.008941937237977982, -0.03001946397125721, -0.02532104253768921, 0.014754347875714302, 0.0002425743266940117, 0.6681075096130371, -0.029899153858423233)","[0, -1]",-1.9423605237413624,"(1.1496483087539673, 0.09201441705226898, -0.02691284939646721, -0.02844393253326416, 0.0083072479814291, 0.0003106614574790001, 0.6681075096130371, -0.03688047081232071)",False
133,"(1.1496483087539673, 0.09201441705226898, -0.02691284939646721, -0.02844393253326416, 0.0083072479814291, 0.0003106614574790001, 0.6681075096130371, -0.03688047081232071)","[-1, -1]",-1.8114083478222918,"(0.8960698246955872, 0.11378980427980423, -0.023991748690605164, -0.025357848405838015, 0.0021775387227535247, 0.0002921100705862045, 0.5681074857711792, -0.043861787766218185)",False
134,"(0.8960698246955872, 0.11378980427980423, -0.023991748690605164, -0.025357848405838015, 0.0021775387227535247, 0.0002921100705862045, 0.5681074857711792, -0.043861787766218185)","[1, 1]",-1.6224716373790018,"(0.7173272371292114, 0.09430862218141556, -0.021896367892622948, -0.017874258756637573, -0.0019481182098388672, 0.0002095380797982216, 0.6681075096130371, -0.03688047081232071)",False
135,"(0.7173272371292114, 0.09430862218141556, -0.021896367892622948, -0.017874258756637573, -0.0019481182098388672, 0.0002095380797982216, 0.6681075096130371, -0.03688047081232071)","[0, -1]",-1.483275035076314,"(0.6233058571815491, 0.057660896331071854, -0.020801985636353493, -0.009402137994766236, -0.0036647725850343705, 0.0001094382256269455, 0.6681075096130371, -0.043861787766218185)",False
136,"(0.6233058571815491, 0.057660896331071854, -0.020801985636353493, -0.009402137994766236, -0.0036647725850343705, 0.0001094382256269455, 0.6681075096130371, -0.043861787766218185)","[0, 0]",-1.4617397196972544,"(0.602684497833252, 0.01972430758178234, -0.02058013342320919, -0.002062135934829712, -0.0037936588749289514, 2.2185221314430237e-05, 0.6681075096130371, -0.043861787766218185)",False
137,"(0.602684497833252, 0.01972430758178234, -0.02058013342320919, -0.002062135934829712, -0.0037936588749289514, 2.2185221314430237e-05, 0.6681075096130371, -0.043861787766218185)","[1, 0]",-1.4195870907482713,"(0.6458315849304199, -0.011376848444342613, -0.021114934235811234, 0.004314708709716797, -0.0031101156026124956, -5.348008126020432e-05, 0.768107533454895, -0.043861787766218185)",False
138,"(0.6458315849304199, -0.011376848444342613, -0.021114934235811234, 0.004314708709716797, -0.0031101156026124956, -5.348008126020432e-05, 0.768107533454895, -0.043861787766218185)","[-1, 1]",-1.5055116659702292,"(0.7492842674255371, -0.026277391240000725, -0.022376039996743202, 0.01034526824951172, -0.0014900542795658112, -0.00012611057609319688, 0.6681075096130371, -0.03688047081232071)",False
139,"(0.7492842674255371, -0.026277391240000725, -0.022376039996743202, 0.01034526824951172, -0.0014900542795658112, -0.00012611057609319688, 0.6681075096130371, -0.03688047081232071)","[1, 1]",-1.4282354184723811,"(0.8998427987098694, -0.011100608855485916, -0.024202454835176468, 0.015055853128433229, 0.001517678238451481, -0.00018264148384332658, 0.768107533454895, -0.029899153858423233)",False
140,"(0.8998427987098694, -0.011100608855485916, -0.024202454835176468, 0.015055853128433229, 0.001517678238451481, -0.00018264148384332658, 0.768107533454895, -0.029899153858423233)","[1, 1]",-1.5824211526595287,"(1.0634574890136719, 0.0445583239197731, -0.026138359680771828, 0.01636146903038025, 0.005565893277525902, -0.000193590484559536, 0.8681075572967529, -0.022917836904525757)",False
141,"(1.0634574890136719, 0.0445583239197731, -0.026138359680771828, 0.01636146903038025, 0.005565893277525902, -0.000193590484559536, 0.8681075572967529, -0.022917836904525757)","[0, 0]",-1.7845178343826151,"(1.1971791982650757, 0.13820290565490723, -0.02758633904159069, 0.013372170925140382, 0.009364458173513413, -0.0001447979360818863, 0.8681075572967529, -0.022917836904525757)",False
142,"(1.1971791982650757, 0.13820290565490723, -0.02758633904159069, 0.013372170925140382, 0.009364458173513413, -0.0001447979360818863, 0.8681075572967529, -0.022917836904525757)","[0, 0]",-1.9401611486811705,"(1.272463083267212, 0.2552590072154999, -0.028131233528256416, 0.007528388500213624, 0.011705610156059266, -5.4489448666572576e-05, 0.8681075572967529, -0.022917836904525757)",False
143,"(1.272463083267212, 0.2552590072154999, -0.028131233528256416, 0.007528388500213624, 0.011705610156059266, -5.4489448666572576e-05, 0.8681075572967529, -0.022917836904525757)","[0, 0]",-2.0616821215117915,"(1.285109043121338, 0.3789046108722687, -0.02769104577600956, 0.0012645959854125977, 0.012364560365676881, 4.401877522468567e-05, 0.8681075572967529, -0.022917836904525757)",False
144,"(1.285109043121338, 0.3789046108722687, -0.02769104577600956, 0.0012645959854125977, 0.012364560365676881, 4.401877522468567e-05, 0.8681075572967529, -0.022917836904525757)","[1, -1]",-2.139536046517014,"(1.2459429502487183, 0.49784278869628906, -0.026398994028568268, -0.003916609287261963, 0.01189381778240204, 0.00012920517474412918, 0.9681075811386108, -0.029899153858423233)",False
145,"(1.2459429502487183, 0.49784278869628906, -0.026398994028568268, -0.003916609287261963, 0.01189381778240204, 0.00012920517474412918, 0.9681075811386108, -0.029899153858423233)","[-1, 1]",-2.322236104328242,"(1.1686636209487915, 0.6064105033874512, -0.024436479434370995, -0.0077279329299926765, 0.010856771469116212, 0.00019625145941972735, 0.8681075572967529, -0.022917836904525757)",False
146,"(1.1686636209487915, 0.6064105033874512, -0.024436479434370995, -0.0077279329299926765, 0.010856771469116212, 0.00019625145941972735, 0.8681075572967529, -0.022917836904525757)","[1, 0]",-2.183827680083305,"(1.0671212673187256, 0.702444314956665, -0.021993596106767654, -0.010154235363006593, 0.009603381156921387, 0.00024428833276033405, 0.9681075811386108, -0.022917836904525757)",False
147,"(1.0671212673187256, 0.702444314956665, -0.021993596106767654, -0.010154235363006593, 0.009603381156921387, 0.00024428833276033405, 0.9681075811386108, -0.022917836904525757)","[-1, -1]",-2.246847615530509,"(0.9540576338768005, 0.7883915901184082, -0.01925400085747242, -0.011306363344192506, 0.008594727516174317, 0.00027395952492952346, 0.8681075572967529, -0.029899153858423233)",False
148,"(0.9540576338768005, 0.7883915901184082, -0.01925400085747242, -0.011306363344192506, 0.008594727516174317, 0.00027395952492952346, 0.8681075572967529, -0.029899153858423233)","[1, -1]",-2.211878696399968,"(0.8309818506240845, 0.8713374137878418, -0.016255609691143036, -0.012307578325271608, 0.00829458236694336, 0.00029983911663293843, 0.9681075811386108, -0.03688047081232071)",False
149,"(0.8309818506240845, 0.8713374137878418, -0.016255609691143036, -0.012307578325271608, 0.00829458236694336, 0.00029983911663293843, 0.9681075811386108, -0.03688047081232071)","[-1, -1]",-2.3294234408320222,"(0.6799659729003906, 0.9551892280578613, -0.012767492793500423, -0.015101587772369385, 0.008385181427001953, 0.00034881168976426126, 0.8681075572967529, -0.043861787766218185)",False
150,"(0.6799659729003906, 0.9551892280578613, -0.012767492793500423, -0.015101587772369385, 0.008385181427001953, 0.00034881168976426126, 0.8681075572967529, -0.043861787766218185)","[1, 1]",-2.2997554157474425,"(0.47826412320137024, 1.030368685722351, -0.008478933945298195, -0.02017018496990204, 0.007517945766448975, 0.00042885588482022285, 0.9681075811386108, -0.03688047081232071)",False
151,"(0.47826412320137024, 1.030368685722351, -0.008478933945298195, -0.02017018496990204, 0.007517945766448975, 0.00042885588482022285, 0.9681075811386108, -0.03688047081232071)","[0, 1]",-2.1975652475948495,"(0.23103763163089752, 1.0763800144195557, -0.003455380443483591, -0.024722649157047274, 0.004601132869720459, 0.0005023553501814604, 0.9681075811386108, -0.029899153858423233)",False
152,"(0.23103763163089752, 1.0763800144195557, -0.003455380443483591, -0.024722649157047274, 0.004601132869720459, 0.0005023553501814604, 0.9681075811386108, -0.029899153858423233)","[0, -1]",-1.975868684813394,"(-0.015817800536751747, 1.0816911458969116, 0.0016586227575317025, -0.02468554321676493, 0.0005311131477355957, 0.0005114003201015293, 0.9681075811386108, -0.03688047081232071)",False
153,"(-0.015817800536751747, 1.0816911458969116, 0.0016586227575317025, -0.02468554321676493, 0.0005311131477355957, 0.0005114003201015293, 0.9681075811386108, -0.03688047081232071)","[-1, -1]",-1.9053305883825407,"(-0.21101412177085876, 1.0618841648101807, 0.006105232518166304, -0.019519632123410704, -0.0019806981086730956, 0.00044466097606346013, 0.8681075572967529, -0.043861787766218185)",False
154,"(-0.21101412177085876, 1.0618841648101807, 0.006105232518166304, -0.019519632123410704, -0.0019806981086730956, 0.00044466097606346013, 0.8681075572967529, -0.043861787766218185)","[1, 0]",-1.8108372222269253,"(-0.35500362515449524, 1.0514646768569946, 0.009814893826842308, -0.014398950338363649, -0.0010419487953186035, 0.0003709661308676005, 0.9681075811386108, -0.043861787766218185)",False
155,"(-0.35500362515449524, 1.0514646768569946, 0.009814893826842308, -0.014398950338363649, -0.0010419487953186035, 0.0003709661308676005, 0.9681075811386108, -0.043861787766218185)","[-1, 0]",-1.7521504077593357,"(-0.515471339225769, 1.0706422328948975, 0.013664658181369305, -0.016046771407127382, 0.0019177556037902833, 0.0003849764354526997, 0.8681075572967529, -0.043861787766218185)",False
156,"(-0.515471339225769, 1.0706422328948975, 0.013664658181369305, -0.016046771407127382, 0.0019177556037902833, 0.0003849764354526997, 0.8681075572967529, -0.043861787766218185)","[-1, -1]",-1.6323462220812228,"(-0.7723954319953918, 1.0994776487350464, 0.018752900883555412, -0.025692409276962282, 0.0028835415840148928, 0.0005088242702186108, 0.768107533454895, -0.05084310472011566)",False
157,"(-0.7723954319953918, 1.0994776487350464, 0.018752900883555412, -0.025692409276962282, 0.0028835415840148928, 0.0005088242702186108, 0.768107533454895, -0.05084310472011566)","[1, 0]",-1.6184917316505787,"(-1.1409515142440796, 1.0893687009811401, 0.025319203734397888, -0.036855608224868774, -0.001010894775390625, 0.0006566302850842476, 0.8681075572967529, -0.05084310472011566)",False
158,"(-1.1409515142440796, 1.0893687009811401, 0.025319203734397888, -0.036855608224868774, -0.001010894775390625, 0.0006566302850842476, 0.8681075572967529, -0.05084310472011566)","[1, -1]",-1.4908293304563551,"(-1.5516983270645142, 1.003512978553772, 0.03241889178752899, -0.04107468128204346, -0.008585572242736816, 0.0007099688053131104, 0.9681075811386108, -0.05782442167401314)",False
159,"(-1.5516983270645142, 1.003512978553772, 0.03241889178752899, -0.04107468128204346, -0.008585572242736816, 0.0007099688053131104, 0.9681075811386108, -0.05782442167401314)","[0, 1]",-1.4145422497825861,"(-1.9099432229995728, 0.8456090688705444, 0.03870794177055359, -0.035824489593505864, -0.015790390968322753, 0.0006289049983024598, 0.9681075811386108, -0.05084310472011566)",False
160,"(-1.9099432229995728, 0.8456090688705444, 0.03870794177055359, -0.035824489593505864, -0.015790390968322753, 0.0006289049983024598, 0.9681075811386108, -0.05084310472011566)","[1, 0]",-1.1277763523768813,"(-2.1708688735961914, 0.6482213735580444, 0.04349811002612114, -0.026092565059661867, -0.019738769531250002, 0.0004790168255567551, 1.0681076049804688, -0.05084310472011566)",False
161,"(-2.1708688735961914, 0.6482213735580444, 0.04349811002612114, -0.026092565059661867, -0.019738769531250002, 0.0004790168255567551, 1.0681076049804688, -0.05084310472011566)","[0, -1]",-0.9393305056749208,"(-2.3519186973571777, 0.4367140531539917, 0.04697589948773384, -0.018104982376098634, -0.021150732040405275, 0.0003477789461612702, 1.0681076049804688, -0.05782442167401314)",False
162,"(-2.3519186973571777, 0.4367140531539917, 0.04697589948773384, -0.018104982376098634, -0.021150732040405275, 0.0003477789461612702, 1.0681076049804688, -0.05782442167401314)","[1, 1]",-0.9184641795591443,"(-2.477588415145874, 0.2105005383491516, 0.04946393147110939, -0.01256697177886963, -0.02262135148048401, 0.00024880319833755495, 1.1681076288223267, -0.05084310472011566)",False
163,"(-2.477588415145874, 0.2105005383491516, 0.04946393147110939, -0.01256697177886963, -0.02262135148048401, 0.00024880319833755495, 1.1681076288223267, -0.05084310472011566)","[1, -1]",-0.7248529102989514,"(-2.528470277786255, -0.039195843040943146, 0.05069365352392197, -0.005088186264038086, -0.024969638139009476, 0.00012297220528125762, 1.2681076526641846, -0.05782442167401314)",False
164,"(-2.528470277786255, -0.039195843040943146, 0.05069365352392197, -0.005088186264038086, -0.024969638139009476, 0.00012297220528125762, 1.2681076526641846, -0.05782442167401314)","[0, 1]",-0.6303126751532963,"(-2.457059144973755, -0.29971814155578613, 0.049985796213150024, 0.00714111328125, -0.0260522298514843, -7.078573107719422e-05, 1.2681076526641846, -0.05084310472011566)",False
165,"(-2.457059144973755, -0.29971814155578613, 0.049985796213150024, 0.00714111328125, -0.0260522298514843, -7.078573107719422e-05, 1.2681076526641846, -0.05084310472011566)","[0, -1]",-0.6398237733149781,"(-2.250617504119873, -0.5335425734519958, 0.04711555317044258, 0.020644164085388186, -0.023382443189620974, -0.0002870243042707443, 1.2681076526641846, -0.05782442167401314)",False
166,"(-2.250617504119873, -0.5335425734519958, 0.04711555317044258, 0.020644164085388186, -0.023382443189620974, -0.0002870243042707443, 1.2681076526641846, -0.05782442167401314)","[1, 1]",-0.5432161172400306,"(-1.9646947383880615, -0.7072792053222656, 0.04281379655003548, 0.028592276573181155, -0.017373663187026978, -0.0004301756620407105, 1.3681076765060425, -0.05084310472011566)",False
167,"(-1.9646947383880615, -0.7072792053222656, 0.04281379655003548, 0.028592276573181155, -0.017373663187026978, -0.0004301756620407105, 1.3681076765060425, -0.05084310472011566)","[0, -1]",-0.5905854188332256,"(-1.6851035356521606, -0.8209521770477295, 0.038278985768556595, 0.02795912027359009, -0.011367297172546387, -0.0004534810781478882, 1.3681076765060425, -0.05782442167401314)",False
168,"(-1.6851035356521606, -0.8209521770477295, 0.038278985768556595, 0.02795912027359009, -0.011367297172546387, -0.0004534810781478882, 1.3681076765060425, -0.05782442167401314)","[0, 0]",-0.5341866269565103,"(-1.4581178426742554, -0.9051817655563354, 0.03420771658420563, 0.02269856929779053, -0.008422958850860597, -0.00040712691843509675, 1.3681076765060425, -0.05782442167401314)",False
169,"(-1.4581178426742554, -0.9051817655563354, 0.03420771658420563, 0.02269856929779053, -0.008422958850860597, -0.00040712691843509675, 1.3681076765060425, -0.05782442167401314)","[-1, -1]",-0.6224883627210555,"(-1.262204647064209, -0.9901844263076782, 0.030363084748387337, 0.01959131956100464, -0.008500266075134278, -0.0003844631835818291, 1.2681076526641846, -0.06480573862791061)",False
170,"(-1.262204647064209, -0.9901844263076782, 0.030363084748387337, 0.01959131956100464, -0.008500266075134278, -0.0003844631835818291, 1.2681076526641846, -0.06480573862791061)","[0, -1]",-0.5753652865938345,"(-1.0452343225479126, -1.0799708366394043, 0.02605525590479374, 0.02169703245162964, -0.008978641033172608, -0.0004307828843593598, 1.2681076526641846, -0.07178705930709839)",False
171,"(-1.0452343225479126, -1.0799708366394043, 0.02605525590479374, 0.02169703245162964, -0.008978641033172608, -0.0004307828843593598, 1.2681076526641846, -0.07178705930709839)","[0, 0]",-0.6312320058991252,"(-0.7810969352722168, -1.155725121498108, 0.020928289741277695, 0.02641373872756958, -0.007575428485870362, -0.0005126966163516045, 1.2681076526641846, -0.07178705930709839)",False
172,"(-0.7810969352722168, -1.155725121498108, 0.020928289741277695, 0.02641373872756958, -0.007575428485870362, -0.0005126966163516045, 1.2681076526641846, -0.07178705930709839)","[1, 1]",-0.7994964418779866,"(-0.4879567623138428, -1.1989696025848389, 0.01524190604686737, 0.029314017295837404, -0.0043244481086730955, -0.0005686383694410325, 1.3681076765060425, -0.06480573862791061)",False
173,"(-0.4879567623138428, -1.1989696025848389, 0.01524190604686737, 0.029314017295837404, -0.0043244481086730955, -0.0005686383694410325, 1.3681076765060425, -0.06480573862791061)","[0, -1]",-1.120441611550656,"(-0.20104201138019562, -1.2074477672576904, 0.009514949284493923, 0.028691475093364716, -0.0008478164672851562, -0.0005726956762373448, 1.3681076765060425, -0.07178705930709839)",False
174,"(-0.20104201138019562, -1.2074477672576904, 0.009514949284493923, 0.028691475093364716, -0.0008478164672851562, -0.0005726956762373448, 1.3681076765060425, -0.07178705930709839)","[-1, 1]",-1.2684950864221463,"(0.05990458279848099, -1.1910173892974854, 0.0040689860470592976, 0.026094659417867663, 0.001643037796020508, -0.0005445963237434625, 1.2681076526641846, -0.06480573862791061)",False
175,"(0.05990458279848099, -1.1910173892974854, 0.0040689860470592976, 0.026094659417867663, 0.001643037796020508, -0.0005445963237434625, 1.2681076526641846, -0.06480573862791061)","[0, 1]",-1.364164535927765,"(0.2953238785266876, -1.1590514183044434, -0.0010539365466684103, 0.023541929572820666, 0.0031965970993041992, -0.0005122922593727708, 1.2681076526641846, -0.05782442167401314)",False
176,"(0.2953238785266876, -1.1590514183044434, -0.0010539365466684103, 0.023541929572820666, 0.0031965970993041992, -0.0005122922593727708, 1.2681076526641846, -0.05782442167401314)","[-1, 1]",-1.53538350823922,"(0.5106693506240845, -1.1158177852630615, -0.005888385698199272, 0.021534547209739685, 0.004323363304138184, -0.0004834449151530862, 1.1681076288223267, -0.05084310472011566)",False
177,"(0.5106693506240845, -1.1158177852630615, -0.005888385698199272, 0.021534547209739685, 0.004323363304138184, -0.0004834449151530862, 1.1681076288223267, -0.05084310472011566)","[0, 0]",-1.5916856471029848,"(0.7094281911849976, -1.0648610591888428, -0.010444258339703083, 0.01987588405609131, 0.005095672607421876, -0.0004555872641503811, 1.1681076288223267, -0.05084310472011566)",False
178,"(0.7094281911849976, -1.0648610591888428, -0.010444258339703083, 0.01987588405609131, 0.005095672607421876, -0.0004555872641503811, 1.1681076288223267, -0.05084310472011566)","[1, -1]",-1.7182780915811595,"(0.9019507765769958, -1.0107665061950684, -0.014827502891421318, 0.019252258539199832, 0.005409455299377442, -0.00043832445517182354, 1.2681076526641846, -0.05782442167401314)",False
179,"(0.9019507765769958, -1.0107665061950684, -0.014827502891421318, 0.019252258539199832, 0.005409455299377442, -0.00043832445517182354, 1.2681076526641846, -0.05782442167401314)","[0, -1]",-1.9491236594200865,"(1.1103479862213135, -0.9524121880531311, -0.019317450001835823, 0.020839720964431763, 0.005835431814193726, -0.0004489947110414505, 1.2681076526641846, -0.06480573862791061)",False
180,"(1.1103479862213135, -0.9524121880531311, -0.019317450001835823, 0.020839720964431763, 0.005835431814193726, -0.0004489947110414505, 1.2681076526641846, -0.06480573862791061)","[0, 0]",-2.1199292534285172,"(1.3526414632797241, -0.8760567903518677, -0.024157296866178513, 0.024229347705841064, 0.007635539770126343, -0.000483984686434269, 1.2681076526641846, -0.06480573862791061)",False
181,"(1.3526414632797241, -0.8760567903518677, -0.024157296866178513, 0.024229347705841064, 0.007635539770126343, -0.000483984686434269, 1.2681076526641846, -0.06480573862791061)","[0, 1]",-2.3243564720528065,"(1.6170495748519897, -0.759864866733551, -0.02919319085776806, 0.026440811157226563, 0.011619192361831666, -0.0005035893991589546, 1.2681076526641846, -0.05782442167401314)",False
182,"(1.6170495748519897, -0.759864866733551, -0.02919319085776806, 0.026440811157226563, 0.011619192361831666, -0.0005035893991589546, 1.2681076526641846, -0.05782442167401314)","[0, 1]",-2.5428582958985166,"(1.8538291454315186, -0.5896587371826172, -0.033741388469934464, 0.02367795705795288, 0.017020612955093384, -0.00045481976121664047, 1.2681076526641846, -0.05084310472011566)",False
183,"(1.8538291454315186, -0.5896587371826172, -0.033741388469934464, 0.02367795705795288, 0.017020612955093384, -0.00045481976121664047, 1.2681076526641846, -0.05084310472011566)","[1, -1]",-2.754147354088877,"(1.9978479146957397, -0.37307435274124146, -0.03688235580921173, 0.01440187692642212, 0.021658438444137576, -0.0003140967339277268, 1.3681076765060425, -0.05782442167401314)",False
184,"(1.9978479146957397, -0.37307435274124146, -0.03688235580921173, 0.01440187692642212, 0.021658438444137576, -0.0003140967339277268, 1.3681076765060425, -0.05782442167401314)","[0, 0]",-3.0624507161427217,"(2.006802558898926, -0.13956421613693237, -0.037989407777786255, 0.0008954644203186036, 0.023351013660430908, -0.0001107051968574524, 1.3681076765060425, -0.05782442167401314)",False
185,"(2.006802558898926, -0.13956421613693237, -0.037989407777786255, 0.0008954644203186036, 0.023351013660430908, -0.0001107051968574524, 1.3681076765060425, -0.05782442167401314)","[-1, 1]",-3.160673926011783,"(1.8863519430160522, 0.0746273323893547, -0.03709566965699196, -0.012045061588287354, 0.02141915485262871, 8.937381207942963e-05, 1.2681076526641846, -0.05084310472011566)",False
186,"(1.8863519430160522, 0.0746273323893547, -0.03709566965699196, -0.012045061588287354, 0.02141915485262871, 8.937381207942963e-05, 1.2681076526641846, -0.05084310472011566)","[0, 0]",-3.023376788269473,"(1.6839359998703003, 0.24589382112026215, -0.034833408892154694, -0.020241594314575197, 0.017126648873090743, 0.00022622607648372652, 1.2681076526641846, -0.05084310472011566)",False
187,"(1.6839359998703003, 0.24589382112026215, -0.034833408892154694, -0.020241594314575197, 0.017126648873090743, 0.00022622607648372652, 1.2681076526641846, -0.05084310472011566)","[0, 0]",-2.9487750809353925,"(1.4556668996810913, 0.3735853135585785, -0.031988922506570816, -0.0228269100189209, 0.012769149243831636, 0.0002844486385583878, 1.2681076526641846, -0.05084310472011566)",False
188,"(1.4556668996810913, 0.3735853135585785, -0.031988922506570816, -0.0228269100189209, 0.012769149243831636, 0.0002844486385583878, 1.2681076526641846, -0.05084310472011566)","[1, 0]",-2.842481277101973,"(1.2293765544891357, 0.473814994096756, -0.02898264490067959, -0.022629034519195557, 0.010022968053817749, 0.0003006277605891228, 1.3681076765060425, -0.05084310472011566)",False
189,"(1.2293765544891357, 0.473814994096756, -0.02898264490067959, -0.022629034519195557, 0.010022968053817749, 0.0003006277605891228, 1.3681076765060425, -0.05084310472011566)","[-1, 0]",-2.812884776226692,"(0.991485059261322, 0.5606280565261841, -0.02566218562424183, -0.023789149522781373, 0.00868130624294281, 0.00033204592764377597, 1.2681076526641846, -0.05084310472011566)",False
190,"(0.991485059261322, 0.5606280565261841, -0.02566218562424183, -0.023789149522781373, 0.00868130624294281, 0.00033204592764377597, 1.2681076526641846, -0.05084310472011566)","[-1, -1]",-2.6108446201100057,"(0.7108113169670105, 0.6288802027702332, -0.02160845883190632, -0.028067374229431154, 0.006825214624404908, 0.00040537267923355106, 1.1681076288223267, -0.05782442167401314)",False
191,"(0.7108113169670105, 0.6288802027702332, -0.02160845883190632, -0.028067374229431154, 0.006825214624404908, 0.00040537267923355106, 1.1681076288223267, -0.05782442167401314)","[-1, -1]",-2.4638929162196908,"(0.3831203579902649, 0.6545498967170715, -0.016751209273934364, -0.032769095897674565, 0.0025669693946838382, 0.00048572495579719545, 1.0681076049804688, -0.06480573862791061)",False
192,"(0.3831203579902649, 0.6545498967170715, -0.016751209273934364, -0.032769095897674565, 0.0025669693946838382, 0.00048572495579719545, 1.0681076049804688, -0.06480573862791061)","[0, 1]",-2.293703838627962,"(0.0571807399392128, 0.6153472661972046, -0.011755166575312614, -0.03259396180510521, -0.003920263051986695, 0.000499604269862175, 1.0681076049804688, -0.05782442167401314)",False
193,"(0.0571807399392128, 0.6153472661972046, -0.011755166575312614, -0.03259396180510521, -0.003920263051986695, 0.000499604269862175, 1.0681076049804688, -0.05782442167401314)","[1, 1]",-1.970032002109853,"(-0.18720503151416779, 0.5150618553161621, -0.007746880408376455, -0.02443857714533806, -0.010028541088104248, 0.0004008286166936159, 1.1681076288223267, -0.05084310472011566)",False
194,"(-0.18720503151416779, 0.5150618553161621, -0.007746880408376455, -0.02443857714533806, -0.010028541088104248, 0.0004008286166936159, 1.1681076288223267, -0.05084310472011566)","[-1, 0]",-1.6938376399188504,"(-0.2957656681537628, 0.3880496919155121, -0.005537415388971567, -0.010856063663959505, -0.012701216340065003, 0.00022094650194048882, 1.0681076049804688, -0.05084310472011566)",False
195,"(-0.2957656681537628, 0.3880496919155121, -0.005537415388971567, -0.010856063663959505, -0.012701216340065003, 0.00022094650194048882, 1.0681076049804688, -0.05084310472011566)","[0, 0]",-1.460059554864564,"(-0.27988430857658386, 0.27688777446746826, -0.005037814378738403, 0.0015881359577178955, -0.011116191744804382, 4.996010102331638e-05, 1.0681076049804688, -0.05084310472011566)",False
196,"(-0.27988430857658386, 0.27688777446746826, -0.005037814378738403, 0.0015881359577178955, -0.011116191744804382, 4.996010102331638e-05, 1.0681076049804688, -0.05084310472011566)","[0, 1]",-1.367074348806384,"(-0.20039202272891998, 0.2030278742313385, -0.005444794427603483, 0.007949228584766389, -0.007385990023612976, -4.069800488650799e-05, 1.0681076049804688, -0.043861787766218185)",False
197,"(-0.20039202272891998, 0.2030278742313385, -0.005444794427603483, 0.007949228584766389, -0.007385990023612976, -4.069800488650799e-05, 1.0681076049804688, -0.043861787766218185)","[0, 0]",-1.2641988229150807,"(-0.11066781729459763, 0.15880459547042847, -0.006017221137881279, 0.008972420543432237, -0.004422327876091004, -5.7242671027779585e-05, 1.0681076049804688, -0.043861787766218185)",False
198,"(-0.11066781729459763, 0.15880459547042847, -0.006017221137881279, 0.008972420543432237, -0.004422327876091004, -5.7242671027779585e-05, 1.0681076049804688, -0.043861787766218185)","[-1, 1]",-1.290153875112019,"(-0.01749480701982975, 0.1275395154953003, -0.0066436887718737125, 0.009317301027476788, -0.0031265079975128177, -6.264676339924335e-05, 0.9681075811386108, -0.03688047081232071)",False
199,"(-0.01749480701982975, 0.1275395154953003, -0.0066436887718737125, 0.009317301027476788, -0.0031265079975128177, -6.264676339924335e-05, 0.9681075811386108, -0.03688047081232071)","[1, -1]",-1.184236309100827,"(0.1012110486626625, 0.10852673649787903, -0.007630044128745794, 0.011870585568249227, -0.0019012778997421266, -9.863553568720818e-05, 1.0681076049804688, -0.043861787766218185)",False
200,"(0.1012110486626625, 0.10852673649787903, -0.007630044128745794, 0.011870585568249227, -0.0019012778997421266, -9.863553568720818e-05, 1.0681076049804688, -0.043861787766218185)","[1, 0]",-1.408053738598531,"(0.24580377340316772, 0.11885842680931091, -0.00900242943316698, 0.014459272474050523, 0.0010331690311431885, -0.00013723853044211864, 1.1681076288223267, -0.043861787766218185)",False
201,"(0.24580377340316772, 0.11885842680931091, -0.00900242943316698, 0.014459272474050523, 0.0010331690311431885, -0.00013723853044211864, 1.1681076288223267, -0.043861787766218185)","[-1, -1]",-1.6066761663571876,"(0.371986985206604, 0.17071618139743805, -0.010161430574953556, 0.012618321180343629, 0.005185775458812714, -0.00011590011417865753, 1.0681076049804688, -0.05084310472011566)",False
202,"(0.371986985206604, 0.17071618139743805, -0.010161430574953556, 0.012618321180343629, 0.005185775458812714, -0.00011590011417865753, 1.0681076049804688, -0.05084310472011566)","[1, 0]",-1.7228921751987516,"(0.4238077998161316, 0.2509693503379822, -0.01031266339123249, 0.005182081460952759, 0.008025316894054413, -1.5123281627893448e-05, 1.1681076288223267, -0.05084310472011566)",False
203,"(0.4238077998161316, 0.2509693503379822, -0.01031266339123249, 0.005182081460952759, 0.008025316894054413, -1.5123281627893448e-05, 1.1681076288223267, -0.05084310472011566)","[1, 1]",-1.8938491364819767,"(0.3863849639892578, 0.32733961939811707, -0.00920481514185667, -0.0037422835826873783, 0.007637026906013489, 0.00011078482493758202, 1.2681076526641846, -0.043861787766218185)",False
204,"(0.3863849639892578, 0.32733961939811707, -0.00920481514185667, -0.0037422835826873783, 0.007637026906013489, 0.00011078482493758202, 1.2681076526641846, -0.043861787766218185)","[1, -1]",-1.9274987975087967,"(0.2996770441532135, 0.3752133250236511, -0.007355602458119392, -0.008670791983604431, 0.004787370562553406, 0.0001849212683737278, 1.3681076765060425, -0.05084310472011566)",False
205,"(0.2996770441532135, 0.3752133250236511, -0.007355602458119392, -0.008670791983604431, 0.004787370562553406, 0.0001849212683737278, 1.3681076765060425, -0.05084310472011566)","[-1, 1]",-2.038988577508095,"(0.21871019899845123, 0.396369993686676, -0.005526632070541382, -0.008096684515476228, 0.0021156668663024902, 0.00018289703875780107, 1.2681076526641846, -0.043861787766218185)",False
